number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_pos_weight_scale,params_weight_decay,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
0,0.8095238095238095,2026-04-15 08:12:15.076118,2026-04-15 08:12:20.938144,0 days 00:00:05.862026,32,0.44365499637943906,256,0.0009635982693635884,3,1.3614329830400664,4.2022959710213364e-05,0.8095238095238095,0.7906976744186046,0.8292682926829268,0.026323551312088966,COMPLETE
1,0.7714285714285715,2026-04-15 08:12:20.938377,2026-04-15 08:12:31.311966,0 days 00:00:10.373589,32,0.22643858840728348,384,0.00012978966264864697,3,1.4681416875760656,0.000338589965139837,0.7714285714285715,0.9310344827586207,0.6585365853658537,0.6996530890464783,COMPLETE
2,0.7272727272727273,2026-04-15 08:12:31.312204,2026-04-15 08:12:40.008490,0 days 00:00:08.696286,64,0.20492192903855258,256,0.00010175996898797494,2,1.4360639304817613,4.2619421045930454e-05,0.7272727272727273,0.7777777777777778,0.6829268292682927,0.5052408576011658,COMPLETE
3,0.875,2026-04-15 08:12:40.008686,2026-04-15 08:12:43.562618,0 days 00:00:03.553932,64,0.2647811933545435,128,0.0018955496944702988,3,0.9448239599403556,0.00010387997547589396,0.875,0.8974358974358975,0.8536585365853658,0.026130910962820053,COMPLETE
4,0.8717948717948718,2026-04-15 08:12:43.562814,2026-04-15 08:12:47.851618,0 days 00:00:04.288804,32,0.2645021956346541,256,0.0011853576717999201,3,1.1780241249271592,1.5761249999240368e-05,0.8717948717948718,0.918918918918919,0.8292682926829268,0.16029399633407593,COMPLETE
5,0.782608695652174,2026-04-15 08:12:47.851819,2026-04-15 08:12:59.261468,0 days 00:00:11.409649,64,0.21984671032280995,384,0.00016346022170072398,3,0.971740277074352,1.6288084020989324e-05,0.782608695652174,0.9642857142857143,0.6585365853658537,0.6948575377464294,COMPLETE
6,0.821917808219178,2026-04-15 08:12:59.261675,2026-04-15 08:13:02.986792,0 days 00:00:03.725117,64,0.30133585315711275,128,0.002132686527622039,3,0.8169180374863813,3.94220907457607e-06,0.821917808219178,0.9375,0.7317073170731707,0.9101243615150452,COMPLETE
7,0.825,2026-04-15 08:13:02.987002,2026-04-15 08:13:10.010226,0 days 00:00:07.023224,16,0.3445110358680087,128,0.0019291391521670195,2,1.1042748247607637,0.00044751170070044904,0.825,0.8461538461538461,0.8048780487804879,0.10769718885421753,COMPLETE
8,0.8571428571428571,2026-04-15 08:13:10.010425,2026-04-15 08:13:18.658105,0 days 00:00:08.647680,64,0.296043864427625,128,0.0001164216695513448,2,1.3438267566961386,8.607606561213412e-06,0.8571428571428571,0.9166666666666666,0.8048780487804879,0.42592403292655945,COMPLETE
9,0.7951807228915663,2026-04-15 08:13:18.658298,2026-04-15 08:13:27.373710,0 days 00:00:08.715412,32,0.4315845115756568,256,0.00038218905115838754,3,0.8897822391032513,6.231095532826347e-05,0.7951807228915663,0.7857142857142857,0.8048780487804879,0.011789091862738132,COMPLETE
10,0.8611111111111112,2026-04-15 08:13:27.373911,2026-04-15 08:13:32.225832,0 days 00:00:04.851921,16,0.10438225155346675,128,0.002991875500819212,2,1.0597085110403979,1.1809614940981606e-06,0.8611111111111112,1.0,0.7560975609756098,0.1377241313457489,COMPLETE
11,0.7941176470588235,2026-04-15 08:13:32.226035,2026-04-15 08:13:37.449764,0 days 00:00:05.223729,32,0.35594708251879803,256,0.0010033842789739227,3,1.2260129712159342,0.0001536001271654207,0.7941176470588235,1.0,0.6585365853658537,0.9943523406982422,COMPLETE
12,0.9,2026-04-15 08:13:37.449986,2026-04-15 08:13:43.407438,0 days 00:00:05.957452,64,0.2695433625260503,128,0.0008422159429846379,3,1.2075416041745852,0.0009300596805746264,0.9,0.9230769230769231,0.8780487804878049,0.01824333891272545,COMPLETE
13,0.8266666666666667,2026-04-15 08:13:43.407656,2026-04-15 08:13:50.527681,0 days 00:00:07.120025,64,0.12826272210519596,128,0.000600588801175017,3,0.9988999819726816,0.0006927042893922826,0.8266666666666667,0.9117647058823529,0.7560975609756098,0.2177511751651764,COMPLETE
14,0.8,2026-04-15 08:13:50.527878,2026-04-15 08:13:57.898723,0 days 00:00:07.370845,64,0.16530504247397615,128,0.0004343169632472973,3,1.251120361244046,0.0001456301937591546,0.8,0.8823529411764706,0.7317073170731707,0.6358705759048462,COMPLETE
15,0.8,2026-04-15 08:13:57.898971,2026-04-15 08:14:04.204635,0 days 00:00:06.305664,64,0.3875784218638432,128,0.000668570400589911,3,0.952807892452151,0.00016377975217694287,0.8,0.8823529411764706,0.7317073170731707,0.4612616300582886,COMPLETE
16,0.782608695652174,2026-04-15 08:14:04.204834,2026-04-15 08:14:12.896541,0 days 00:00:08.691707,64,0.28036191962829166,384,0.00024023838921148402,3,1.1162417214643536,0.0009471719275789164,0.782608695652174,0.9642857142857143,0.6585365853658537,0.8271989226341248,COMPLETE
17,0.8780487804878049,2026-04-15 08:14:12.896742,2026-04-15 08:14:19.083179,0 days 00:00:06.186437,16,0.4960253116067792,128,0.0018058355834783982,3,0.8028866937270067,0.00029350728865785135,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.03886857628822327,COMPLETE
18,0.8311688311688312,2026-04-15 08:14:19.083383,2026-04-15 08:14:26.973357,0 days 00:00:07.889974,16,0.4971771790085761,128,0.0013628599414092144,2,0.8219012411344123,0.0003306472414297685,0.8311688311688312,0.8888888888888888,0.7804878048780488,0.36368703842163086,COMPLETE
19,0.85,2026-04-15 08:14:26.973610,2026-04-15 08:14:34.712590,0 days 00:00:07.738980,16,0.49146363419227435,128,0.0007273233802304011,3,1.312795002722326,0.0009331739323325839,0.85,0.8717948717948718,0.8292682926829268,0.1462484747171402,COMPLETE
20,0.782608695652174,2026-04-15 08:14:34.712798,2026-04-15 08:14:48.817270,0 days 00:00:14.104472,16,0.3408437030345003,384,0.00029475415753032694,3,1.0655039400909423,0.0002731568804220706,0.782608695652174,0.9642857142857143,0.6585365853658537,0.7753819823265076,COMPLETE
21,0.810126582278481,2026-04-15 08:14:48.817474,2026-04-15 08:14:54.489764,0 days 00:00:05.672290,16,0.2583369695413139,128,0.001683067604708606,3,0.8806876047954121,0.00010337241034661986,0.810126582278481,0.8421052631578947,0.7804878048780488,0.30136996507644653,COMPLETE
22,0.868421052631579,2026-04-15 08:14:54.489972,2026-04-15 08:14:59.117693,0 days 00:00:04.627721,64,0.1902336177922795,128,0.002986240167098561,3,0.924116562232428,8.144655563334456e-05,0.868421052631579,0.9428571428571428,0.8048780487804879,0.8094435930252075,COMPLETE
23,0.8378378378378378,2026-04-15 08:14:59.117910,2026-04-15 08:15:03.222168,0 days 00:00:04.104258,64,0.3191657491692055,128,0.001442228394466655,3,1.013726265508522,0.00044293384507640345,0.8378378378378378,0.9393939393939394,0.7560975609756098,0.5387973785400391,COMPLETE
24,0.8641975308641975,2026-04-15 08:15:03.222400,2026-04-15 08:15:10.611101,0 days 00:00:07.388701,16,0.3921718479027172,128,0.000835921731547444,3,0.8049221064372516,0.000215230735117188,0.8641975308641975,0.875,0.8536585365853658,0.16584689915180206,COMPLETE
25,0.9,2026-04-15 08:15:10.611336,2026-04-15 08:15:13.801700,0 days 00:00:03.190364,64,0.24972784047326202,128,0.0022121194283599033,3,0.8762969657439196,0.0004940470693734524,0.9,0.9230769230769231,0.8780487804878049,0.02383870631456375,COMPLETE
26,0.8157894736842105,2026-04-15 08:15:13.801925,2026-04-15 08:15:20.506751,0 days 00:00:06.704826,16,0.2406685721281973,128,0.0024237966076682336,2,0.8784334426791603,0.0005678733156045237,0.8157894736842105,0.8857142857142857,0.7560975609756098,0.2935703694820404,COMPLETE
